metric,age_group,td_mean,td_std,sli_mean,sli_std,difference,t_statistic,p_value,cohen_d,n_td,n_sli,p_adjusted,significant
num_nodes,Overall,346.6639839034205,124.42439151652623,264.10526315789474,120.03960388783356,82.55872074552576,7.551227566811523,1.42549902973875e-13,0.6753178008491513,497,171,2.6609315221790004e-12,True
num_edges,Overall,1293.655935613682,753.1459693439862,1042.859649122807,820.4926304704672,250.796286490875,3.6695544305009644,0.0002624052936038574,0.31845549135806306,497,171,0.0007734050758850532,True
density,Overall,0.02193857856945303,0.008473122480936806,0.030320944576158772,0.013445249671342151,-0.008382366006705742,-9.473257226803678,4.6391400659283717e-20,-0.7459195468625796,497,171,1.2989592184599442e-18,True
avg_degree_centrality,Overall,0.02193857856945303,0.008473122480936806,0.030320944576158776,0.013445249671342151,-0.008382366006705746,-9.473257226803682,4.6391400659282044e-20,-0.7459195468625799,497,171,1.2989592184599442e-18,True
avg_clustering,Overall,0.42986573626713687,0.05517229019229444,0.4592815369687764,0.06300430099661296,-0.029415800701639516,-5.7931685497263254,1.0653971915898221e-08,-0.49673818082740573,497,171,1.491556068225751e-07,True
avg_closeness_centrality,Overall,0.27817595063280093,0.17946429221810578,0.34298347954361724,0.21510300570117655,-0.06480752891081631,-3.863593140172746,0.0001226521690162896,-0.32716738020513647,497,171,0.0005004106088194566,True
avg_path_length,Overall,4.652158092134629,1.5851546725496886,4.002278160304628,1.7394351586429564,0.649879931830001,4.5083739379452314,7.718080291532635e-06,0.3905331684086943,497,171,5.4026562040728446e-05,True
transitivity,Overall,0.8960901744975237,0.03708353824160399,0.8933620753789646,0.038167689151363614,0.002728099118559091,0.8235753863854698,0.41047567898228554,0.07249891142966595,497,171,0.45973276046015976,False
num_nodes,5y,255.1,96.57338332763815,142.11111111111111,29.293533605748404,112.98888888888888,3.459077090918384,0.0010326651336087925,1.5833621206782817,50,9,0.0026286021582769266,True
num_edges,5y,889.98,543.3550532364184,403.1111111111111,100.30509015554051,486.86888888888893,2.6616021247787813,0.01008654922493844,1.2461392893994243,50,9,0.016613139899898606,True
density,5y,0.027668990581510552,0.010206023074355036,0.04422126900901244,0.019021643825124532,-0.016552278427501885,-3.8589521896123387,0.00029265976169730426,-1.084392288597434,50,9,0.0007804260311928147,True
avg_degree_centrality,5y,0.027668990581510552,0.010206023074355036,0.04422126900901244,0.019021643825124532,-0.016552278427501885,-3.8589521896123378,0.0002926597616973055,-1.084392288597434,50,9,0.0007804260311928147,True
avg_clustering,5y,0.4315156008185154,0.06576010528232883,0.49227943544054575,0.07462326093249799,-0.06076383462203033,-2.501879487845159,0.01524823251507641,-0.8639640508920001,50,9,0.024397172024122258,True
avg_closeness_centrality,5y,0.385507468348559,0.2659996075463999,0.6754050196428215,0.2772714086320398,-0.28989755129426253,-2.9917275606721514,0.004093522417098755,-1.0670003190637962,50,9,0.007394750172823558,True
avg_path_length,5y,3.72462509464781,1.7290998775500972,2.167832038178045,1.9563978492708,1.5567930564697652,2.4390202652381143,0.01786410194280498,0.8432189380748686,50,9,0.02778860302214108,True
transitivity,5y,0.89991170199571,0.03467628195838744,0.8981654710816258,0.023981745399400824,0.0017462309140842125,0.14446460604559477,0.8856431893824966,0.058573810790335634,50,9,0.8856431893824966,False
num_nodes,6y,264.92929292929296,116.41763774474373,191.75757575757575,93.35819135961982,73.1717171717172,3.2740134362746915,0.0013588347659241617,0.6934412289137292,99,33,0.0033084672561631764,True
num_edges,6y,979.030303030303,738.5134193099864,757.060606060606,724.7811712593817,221.969696969697,1.5021081751581726,0.13549435784190741,0.3033701139822928,99,33,0.1764577683522515,False
density,6y,0.02698467689853118,0.0095297999243166,0.040286206166671,0.018432896694693324,-0.013301529268139822,-5.365708977464764,3.579390395613501e-07,-0.9065363524711442,99,33,3.340764369239268e-06,True
avg_degree_centrality,6y,0.02698467689853118,0.009529799924316597,0.040286206166671,0.01843289669469332,-0.013301529268139822,-5.365708977464764,3.579390395613501e-07,-0.9065363524711444,99,33,3.340764369239268e-06,True
avg_clustering,6y,0.44193380751076283,0.06252360197871663,0.4762514094565465,0.07284579650403533,-0.03431760194578365,-2.617875493038998,0.009897743759234134,-0.5055539521357634,99,33,0.016613139899898606,True
avg_closeness_centrality,6y,0.3420222017029908,0.22284714605169414,0.35625490049694825,0.19235748163828797,-0.014232698793957443,-0.32820095759266005,0.7432877512122664,-0.06837341518426154,99,33,0.7568020739615804,False
avg_path_length,6y,3.9839011161076456,1.6121673062738942,3.5515214032147004,1.2710899457782037,0.4323797128929452,1.401109191901318,0.16356410804688284,0.29784769164931163,99,33,0.20817250115057817,False
transitivity,6y,0.8925194524598224,0.042234186961262306,0.8809998939960385,0.04223691900524597,0.011519558463783941,1.3569141810087602,0.17715991366138556,0.27274553413154534,99,33,0.21567293837038243,False
num_nodes,7y,326.1,122.87757724621278,261.86,108.60601140952427,64.24000000000001,3.134017056555883,0.002079530744346253,0.5539767013948678,100,50,0.004658148867335607,True
num_edges,7y,1202.46,776.8389121005303,977.24,682.4152353731471,225.22000000000003,1.7409401948601237,0.08377220459188496,0.3080340474629672,100,50,0.11442057212550141,False
density,7y,0.02182957165888902,0.006975915146611325,0.027313510712844994,0.007420880298335032,-0.005483939053955975,-4.442906412431176,1.7281082611182878e-05,-0.7614641277346239,100,50,8.06450521855201e-05,True
avg_degree_centrality,7y,0.021829571658889012,0.006975915146611325,0.027313510712844997,0.007420880298335031,-0.005483939053955986,-4.442906412431186,1.728108261118217e-05,-0.7614641277346255,100,50,8.06450521855201e-05,True
avg_clustering,7y,0.4228689432102341,0.05673621657683831,0.4541489570343697,0.05937648957722929,-0.03128001382413559,-3.1340413850618614,0.0020793691934989766,-0.5386478573123742,100,50,0.004658148867335607,True
avg_closeness_centrality,7y,0.2737996435522889,0.1695834937506618,0.33128044431975945,0.2015031979681632,-0.05748080076747053,-1.8357763378702587,0.06839770078692195,-0.3086573977586086,100,50,0.09821208318122127,False
avg_path_length,7y,4.619056691186452,1.4660474237804264,4.101068732679511,1.7600190736041526,0.5179879585069402,1.9054689333568628,0.05865836459516431,0.3198016458821254,100,50,0.08878022749538382,False
transitivity,7y,0.8938215015538964,0.03941574079634677,0.8961459548552883,0.03769837143511275,-0.00232445330139186,-0.34538783942169077,0.7302932275064066,-0.06027112322863119,100,50,0.7568020739615804,False
num_nodes,8y,373.96,112.61671117717671,264.09090909090907,115.77493350148264,109.86909090909091,4.826227376330409,3.810390530176111e-06,0.9620193259504495,100,33,3.0483124241408888e-05,True
num_edges,8y,1398.2,711.3632665310298,990.6969696969697,815.5822875731365,407.5030303030303,2.7497884519198244,0.006806659665099526,0.5325103499283416,100,33,0.011911654413924172,True
density,8y,0.020367136148427525,0.007495629238545663,0.02739882666210738,0.00836803768362392,-0.007031690513679856,-4.538317515982536,1.2686164053603135e-05,-0.88517761338642,100,33,7.104251870017805e-05,True
avg_degree_centrality,8y,0.020367136148427525,0.0074956292385456634,0.027398826662107377,0.008368037683623918,-0.007031690513679852,-4.538317515982533,1.2686164053603225e-05,-0.8851776133864196,100,33,7.104251870017805e-05,True
avg_clustering,8y,0.4320654860057217,0.053965445796125146,0.4517530919310951,0.05475657178039189,-0.019687605925373386,-1.8107032830387073,0.07247845123712433,-0.3621545141848974,100,33,0.10146983173197406,False
avg_closeness_centrality,8y,0.26198727644576425,0.15882450268067275,0.37547070611888195,0.2577744605468524,-0.1134834296731177,-3.008902135677792,0.0031453297435881404,-0.5300623732552141,100,33,0.005871282188031196,True
avg_path_length,8y,4.791122858903641,1.5213872012396403,3.8168856484382196,1.681112604630322,0.9742372104654216,3.106985071962846,0.002317998825572468,0.6076676342129046,100,33,0.0049926128550791616,True
transitivity,8y,0.8961588656839455,0.03819229726340873,0.8921029948449397,0.044997959575018946,0.004055870839005826,0.5055561761869267,0.61401783636692,0.09718364982562228,100,33,0.6487735629537268,False
num_nodes,9y,423.97777777777776,70.17267303162993,337.4583333333333,107.00913376971577,86.51944444444445,4.043906710693385,0.00013826720551404108,0.9561718646479316,45,24,0.0005004106088194566,True
num_edges,9y,1737.5333333333333,660.1040413863147,1540.2916666666667,998.1966992343338,197.24166666666656,0.9845463641629192,0.3283890557134054,0.23308902991286934,45,24,0.377070817163681,False
density,9y,0.01899134820716169,0.005036801083055184,0.02737804003472395,0.012368163148457427,-0.00838669182756226,-3.989417554853745,0.0001665372428891499,-0.8881376832653269,45,24,0.000518115866766244,True
avg_degree_centrality,9y,0.018991348207161685,0.005036801083055184,0.02737804003472395,0.012368163148457427,-0.008386691827562263,-3.989417554853747,0.00016653724288914908,-0.8881376832653274,45,24,0.000518115866766244,True
avg_clustering,9y,0.43242579984245155,0.046271977945235125,0.45874790851474007,0.06885304385300296,-0.026322108672288513,-1.89075465299751,0.06298223705825377,-0.448728306137036,45,24,0.09281592829637397,False
avg_closeness_centrality,9y,0.21148787881368258,0.07089410846052753,0.24072282757878408,0.10296541526162462,-0.029234948765101493,-1.3883760386303756,0.16962151065460312,-0.3307255131868533,45,24,0.21108454659239498,False
avg_path_length,9y,5.430014101371486,1.36170224218856,5.012240903933861,1.8924536037540363,0.41777319743762487,1.0565717460778306,0.29450195357554737,0.25341439560530193,45,24,0.3508959446857586,False
transitivity,9y,0.905117608583423,0.025524720127866034,0.8983335178149977,0.030536957615841482,0.006784090768425344,0.9813779102487861,0.3299369650182209,0.24106086605847826,45,24,0.377070817163681,False
num_nodes,10y,427.47058823529414,92.96028247400639,344.6666666666667,122.46360003418702,82.80392156862746,3.1229479944591714,0.0026036461991008272,0.7616436674090475,51,21,0.005027730591367114,True
num_edges,10y,1514.6470588235295,681.2916504267291,1401.952380952381,857.2009377147506,112.69467787114854,0.5906628084515663,0.5566486649154716,0.14555178955885442,51,21,0.6112220634365962,False
density,10y,0.016874349620745424,0.0060391237559604,0.024266859090870348,0.009195394718422172,-0.007392509470124924,-4.023721889379947,0.00014297445966270187,-0.9503137425010105,51,21,0.0005004106088194566,True
avg_degree_centrality,10y,0.016874349620745424,0.0060391237559604,0.024266859090870348,0.009195394718422172,-0.007392509470124924,-4.023721889379947,0.00014297445966270187,-0.9503137425010105,51,21,0.0005004106088194566,True
avg_clustering,10y,0.4229939803986193,0.04363069967219685,0.44365719141308396,0.05243328311277391,-0.020663211014464666,-1.7206329580234374,0.08973529657968095,-0.42840205926592123,51,21,0.11964706210624126,False
avg_closeness_centrality,10y,0.21089555417865916,0.06369318840334298,0.2805636573527452,0.12432904968475318,-0.06966810317408603,-3.1417995930333955,0.002461286295644401,-0.7052935014571348,51,21,0.005027730591367114,True
avg_path_length,10y,5.351595914430593,1.2089439381201477,4.323417318947234,1.4086294517627918,1.028178595483359,3.1243858311037225,0.0025925230048846524,0.7833207544645143,51,21,0.005027730591367114,True
transitivity,10y,0.8945492527570188,0.032294406034775194,0.8990624134441438,0.033415162542459936,-0.00451316068712504,-0.5336353700589371,0.5952843206641003,-0.13734694828103935,51,21,0.6410754222536464,False
